df_id,df_description,dimension_id,max_level,levels,n_territories,checked_at
101_12_DF_DCSP_PREZZIAGR_7,"Indice dei prezzi dei prodotti acquistati dagli agricoltori, media annua (base 2010)",REF_AREA,nazionale,nazionale,1,2026-07-16
101_12_DF_DCSP_PREZZIAGR_8,"Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori, media annua (base 2010)",REF_AREA,nazionale,nazionale,1,2026-07-16
101_12_DF_DCSP_PREZZIAGR_9,"Indice dei prezzi dei prodotti acquistati dagli agricoltori, mensile (base 2020)",REF_AREA,nazionale,nazionale,1,2026-07-16
101_148,Risultati economici delle aziende agricole,REF_AREA,provincia,nazionale|ripartizione|regione|provincia,32,2026-07-16
101_148_DF_DCSP_RICAREA_1,Risultati economici delle aziende agricole - Principali dati,REF_AREA,provincia,nazionale|ripartizione|regione|provincia,32,2026-07-16
101_148_DF_DCSP_RICAREA_2,Valori economici medi per azienda per classe di ULA,REF_AREA,nazionale,nazionale,1,2026-07-16
101_148_DF_DCSP_RICAREA_3,Valori economici medi per azienda per classe di fatturato,REF_AREA,nazionale,nazionale,1,2026-07-16
101_148_DF_DCSP_RICAREA_4,Valori economici medi per azienda per forma giuridica,REF_AREA,nazionale,nazionale,1,2026-07-16
101_148_DF_DCSP_RICAREA_5,Idicatori di performance per settore,REF_AREA,nazionale,nazionale,1,2026-07-16
101_22,Fitosanitari,REF_AREA,provincia,nazionale|ripartizione|regione|provincia,141,2026-07-16
101_22_DF_DCSP_FITOSANITARI_1,Prodotti distribuiti - prov.,REF_AREA,provincia,nazionale|ripartizione|regione|provincia,141,2026-07-16
101_22_DF_DCSP_FITOSANITARI_2,Principi attivi contenuti - prov.,REF_AREA,provincia,nazionale|ripartizione|regione|provincia,141,2026-07-16
101_22_DF_DCSP_FITOSANITARI_3,Utilizzo per tipo di coltura - Principali dati,REF_AREA,nazionale,nazionale,1,2026-07-16
101_22_DF_DCSP_FITOSANITARI_4,Utilizzo - dettaglio di principio attivo,REF_AREA,nazionale,nazionale,1,2026-07-16
101_22_DF_DCSP_FITOSANITARI_5,Classe di trattamenti effettuati,REF_AREA,nazionale,nazionale,1,2026-07-16
101_959,Latte e prodotti lattiero caseari,REF_AREA,provincia,nazionale|ripartizione|regione|provincia,32,2026-07-16
101_959_DF_DCSP_LATTE_1,Prodotti - dati mensili,REF_AREA,nazionale,nazionale,1,2026-07-16
101_959_DF_DCSP_LATTE_2,Prodotti per tipo di unità produttiva,REF_AREA,nazionale,nazionale,1,2026-07-16
101_959_DF_DCSP_LATTE_3,Quantità di materie prime fresche importate,REF_AREA,nazionale,nazionale,1,2026-07-16
101_959_DF_DCSP_LATTE_4,Prodotti e stabilimenti per classi di tonnellate di prodotto,REF_AREA,nazionale,nazionale,1,2026-07-16
101_959_DF_DCSP_LATTE_5,Stabilimenti per unità produttive - reg,REF_AREA,provincia,nazionale|ripartizione|regione|provincia,32,2026-07-16
101_959_DF_DCSP_LATTE_6,Prodotti - reg,REF_AREA,provincia,nazionale|ripartizione|regione|provincia,32,2026-07-16
101_961,Consistenze degli allevamenti,REF_AREA,regione,nazionale|ripartizione|regione,28,2026-07-16
101_961_DF_DCSP_CONSISTENZE_1,Consistenze al 1° dicembre - reg,REF_AREA,regione,nazionale|ripartizione|regione,28,2026-07-16
101_961_DF_DCSP_CONSISTENZE_2,Consistenze al 1° giugno,REF_AREA,nazionale,nazionale,1,2026-07-16
101_962,Import export di bestiame,REF_AREA,nazionale,nazionale,1,2026-07-16
101_962_DF_DCSP_LIVESTIMPEXP_1,Animali vivi - dati mensili,REF_AREA,nazionale,nazionale,1,2026-07-16
101_962_DF_DCSP_LIVESTIMPEXP_2,Animali vivi - dati annuali,REF_AREA,nazionale,nazionale,1,2026-07-16
101_962_DF_DCSP_LIVESTIMPEXP_3,Carni - dati mensili,REF_AREA,nazionale,nazionale,1,2026-07-16
101_962_DF_DCSP_LIVESTIMPEXP_4,Carni - dati annuali,REF_AREA,nazionale,nazionale,1,2026-07-16
101_965,Agriturismo,REF_AREA,provincia,nazionale|ripartizione|regione|provincia,141,2026-07-16
101_965_DF_DCSP_AGRITURISMO_1,Aziende autorizzate - prov,REF_AREA,provincia,nazionale|ripartizione|regione|provincia,141,2026-07-16
101_965_DF_DCSP_AGRITURISMO_2,Servizi agrituristici,REF_AREA,provincia,nazionale|ripartizione|regione|provincia,141,2026-07-16
101_965_DF_DCSP_AGRITURISMO_3,Zona altimetrica e sesso del conduttore - prov,REF_AREA,provincia,nazionale|ripartizione|regione|provincia,141,2026-07-16
101_965_DF_DCSP_AGRITURISMO_4,Durata dell'autorizzazione - prov,REF_AREA,provincia,nazionale|ripartizione|regione|provincia,141,2026-07-16
101_965_DF_DCSP_AGRITURISMO_5,Dinamica autorizzazioni - prov,REF_AREA,provincia,nazionale|ripartizione|regione|provincia,141,2026-07-16
102_974,Struttura delle aziende agricole,REF_AREA,provincia,nazionale|ripartizione|regione|provincia,32,2026-07-16
102_974_DF_DCSP_SPA_1,Aziende e superfici per titolo di possesso,REF_AREA,provincia,nazionale|ripartizione|regione|provincia,32,2026-07-16
102_974_DF_DCSP_SPA_10,Aziende con energia rinnovabile,REF_AREA,provincia,nazionale|ripartizione|regione|provincia,32,2026-07-16
102_974_DF_DCSP_SPA_11,Aziende e mezzi meccanici,REF_AREA,provincia,nazionale|ripartizione|regione|provincia,32,2026-07-16
102_974_DF_DCSP_SPA_12,Aziende per forma giuridica,REF_AREA,provincia,nazionale|ripartizione|regione|provincia,32,2026-07-16
102_974_DF_DCSP_SPA_13,Aziende per titolo di studio del conduttore,REF_AREA,provincia,nazionale|ripartizione|regione|provincia,32,2026-07-16
102_974_DF_DCSP_SPA_14,Persone e giornate di lavoro per tipo di manodopera,REF_AREA,provincia,nazionale|ripartizione|regione|provincia,32,2026-07-16
102_974_DF_DCSP_SPA_2,Aziende e superfici per classe di superficie,REF_AREA,provincia,nazionale|ripartizione|regione|provincia,32,2026-07-16
102_974_DF_DCSP_SPA_3,Aziende e superfici per forma di conduzione,REF_AREA,provincia,nazionale|ripartizione|regione|provincia,32,2026-07-16
102_974_DF_DCSP_SPA_4,Aziende a superficie irrigabile ed irrigata,REF_AREA,provincia,nazionale|ripartizione|regione|provincia,32,2026-07-16
102_974_DF_DCSP_SPA_5,Aziende e superfici per coltivazione biologiche,REF_AREA,provincia,nazionale|ripartizione|regione|provincia,32,2026-07-16
102_974_DF_DCSP_SPA_6,Aziende e superfici,REF_AREA,provincia,nazionale|ripartizione|regione|provincia,32,2026-07-16
102_974_DF_DCSP_SPA_7,Aziende e superfici per coltivazione,REF_AREA,provincia,nazionale|ripartizione|regione|provincia,32,2026-07-16
102_974_DF_DCSP_SPA_8,Aziende e consistenze degli allevamenti,REF_AREA,provincia,nazionale|ripartizione|regione|provincia,32,2026-07-16
102_974_DF_DCSP_SPA_9,Aziende con attività connesse,REF_AREA,provincia,nazionale|ripartizione|regione|provincia,32,2026-07-16
